Text,Date,Favorites,Retweets,Tweet ID
"We did it! Thank you to all of my great supporters, we just officially won the election (despite all of the distorted and inaccurate media).",2016-12-19 16:51:41,225076,59900,810996052241293312
"Today there were terror attacks in Turkey, Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!",2016-12-19 16:21:11,115537,39760,810988379051610112
"If my many supporters acted and threatened people like those who lost the election are doing, they would be scorned & called terrible names!",2016-12-18 14:54:40,136429,36731,810604216771284992
We should tell China that we don't want the drone they stole back.- let them keep it!,2016-12-17 17:59:25,66063,18110,810288321880555520
"Thank you Alabama! From now on, it’s going to be #AmericaFirst. Our goal is to bring back that wonderful phrase: #MadeInTheUSA!pic.twitter.com/O3RBYD2dT3",2016-12-17 17:12:05,54964,13017,810276411177107456
China steals United States Navy research drone in international waters - rips it out of water and takes it to China in unprecedented act.,2016-12-17 06:57:20,61231,19548,810121703288410112
"Mobile, Alabama today at 3:00 P.M. Last rally of the year - ""THANK YOU ALABAMA AND THE SOUTH"" Biggest of all crowds expected, see you there!",2016-12-17 06:20:23,40311,8251,810112407309844480
"""@EazyMF_E: @realDonaldTrump Many people are now saying you will be an extremely successful president! #MakeAmericaGreatAgain""  Thank you!",2016-12-17 06:07:22,35291,7116,810109131537481728
"Last night in Orlando, Florida, was incredible - massive crowd - THANK YOU FLORIDA! Today at 3:00 P.M. I will be in Alabama for last rally!",2016-12-17 06:05:02,36110,6430,810108542921408512
Thank you Florida. My Administration will follow two simple rules: BUY AMERICAN and HIRE AMERICAN! #ICYMI- Watch: https://www.facebook.com/DonaldTrump/videos/10158310632295725/ …pic.twitter.com/OawesIeUjB,2016-12-16 20:52:01,43402,11108,809969373754654721
"#ThankYouTour2016 

Tonight- Orlando, Florida 
Tickets: http://bit.ly/2gpz8goFLORIDA 

Tomorrow- Mobile, Alabama
Tickets: http://bit.ly/2gpwhwcALABAMA pic.twitter.com/udCCmET1jU – at Trump Tower",2016-12-16 09:54:28,27805,7057,809803893920165892
"Well, we all did it, together! I hope the ""MOVEMENT"" fans will go to D.C. on Jan 20th for the swearing in. Let's set the all time record!",2016-12-16 09:03:09,71074,18273,809790978332786689
Are we talking about the same cyberattack where it was revealed that head of the DNC illegally gave Hillary the questions to the debate?,2016-12-16 04:09:19,110067,33815,809717035353722880
"Thank you Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! Watch here: https://www.facebook.com/DonaldTrump/videos/10158305240145725/ …
#ThankYouTour2016pic.twitter.com/Odd2JSTvkn",2016-12-15 18:32:56,38218,8942,809571983428120577
"Join me in Mobile, Alabama on Sat. at 3pm! #ThankYouTour2016 
Tickets: http://bit.ly/2gpwhwcALABAMA pic.twitter.com/opKrWO4k0C",2016-12-15 15:27:16,22255,5586,809525257371578369
"If Russia, or some other entity, was hacking, why did the White House wait so long to act? Why did they only complain after Hillary lost?",2016-12-15 07:24:29,124937,41009,809403760099422208
"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!",2016-12-15 06:28:54,61181,13867,809389774066814976
"Thank you to Time Magazine and Financial Times for naming me ""Person of the Year"" - a great honor!",2016-12-15 06:09:14,57307,10785,809384826193276928
"Has anyone looked at the really poor numbers of @VanityFair Magazine. Way down, big trouble, dead! Graydon Carter, no talent, will be out!",2016-12-15 06:05:55,37551,8950,809383989018497024
.@BillGates and @JimBrownNFL32 in my Trump Tower office yesterday- two great guys!pic.twitter.com/4PjSOEU5y9,2016-12-14 11:07:55,58167,14215,809097603010981888
"Thank you Wisconsin! My Administration will be focused on three very important words: jobs, jobs, jobs! Watch: http://bit.ly/2gJ2K4pWisconsinLive …pic.twitter.com/87TyY7CG0X",2016-12-13 20:48:55,42803,9737,808881429715316737
"Join me this Saturday at Ladd–Peebles Stadium in Mobile, Alabama! 
#ThankYouTour2016 

Tickets: http://bit.ly/2gpwhwcALABAMA pic.twitter.com/2aXHTRyNT3",2016-12-13 14:33:53,23411,6270,808787048144453632
The thing I like best about Rex Tillerson is that he has vast experience at dealing successfully with all types of foreign governments.,2016-12-13 05:44:06,59218,14736,808653723639697408
Wisconsin and Pennsylvania have just certified my wins in those states. I actually picked up additional votes!,2016-12-13 04:57:35,78251,18374,808642018612310016
"I have chosen one of the truly great business leaders of the world, Rex Tillerson, Chairman and CEO of ExxonMobil, to be Secretary of State.",2016-12-13 04:43:38,77429,23315,808638507161882624
"I will hold a press conference in the near future to discuss the business, Cabinet picks and all other topics of interest. Busy times!",2016-12-12 21:41:33,47469,10509,808532286664822784
